id,conversation_id,role,content,token_count,created_at
1,c0000001-0000-0000-0000-000000000001,user,"Hola, ¿qué es el CCAT?",8,2026-06-06 23:38:05.505111+00
2,c0000001-0000-0000-0000-000000000001,assistant,"¡Hola María! El CCAT es el club de ciencia y tecnología. Organizamos talleres, proyectos y eventos para estudiantes. ¿Te gustaría saber sobre alguno en particular?",38,2026-06-06 23:38:05.505111+00
3,c0000001-0000-0000-0000-000000000001,user,"Sí, ¿qué talleres tienen?",9,2026-06-06 23:38:05.505111+00
4,c0000001-0000-0000-0000-000000000001,assistant,"Tenemos talleres de programación, robótica, diseño y datos. Todos son gratuitos para miembros. ¿Quieres los horarios?",32,2026-06-06 23:38:05.505111+00
5,c0000002-0000-0000-0000-000000000002,user,¿A qué hora es el taller de robótica?,12,2026-06-06 23:38:05.505111+00
6,c0000002-0000-0000-0000-000000000002,assistant,El taller de robótica es los miércoles de 4 a 6 p. m. en el laboratorio B. ¿Te reservo un cupo?,30,2026-06-06 23:38:05.505111+00
7,c0000003-0000-0000-0000-000000000003,user,"Buenas, quiero inscribirme al club",9,2026-06-06 23:38:05.505111+00
8,c0000003-0000-0000-0000-000000000003,assistant,"¡Genial, Carlos! La inscripción es en línea: llenas un formulario con tu nombre, carrera y correo. ¿Te paso el enlace?",36,2026-06-06 23:38:05.505111+00
9,c0000003-0000-0000-0000-000000000003,user,Sí por favor,4,2026-06-06 23:38:05.505111+00
10,c0000003-0000-0000-0000-000000000003,assistant,"Perfecto. Apenas completes el formulario, recibirás un correo de bienvenida con los siguientes pasos.",28,2026-06-06 23:38:05.505111+00
11,c0000004-0000-0000-0000-000000000004,user,¿En qué proyectos están trabajando ahora?,11,2026-06-06 23:38:05.505111+00
12,c0000004-0000-0000-0000-000000000004,assistant,"Actualmente tenemos un chatbot a costo cero, un brazo robótico y una app de monitoreo ambiental. ¿Alguno te interesa para participar?",40,2026-06-06 23:38:05.505111+00
13,c0000005-0000-0000-0000-000000000005,user,¿Qué requisitos piden para entrar?,10,2026-06-06 23:38:05.505111+00
14,c0000005-0000-0000-0000-000000000005,assistant,"Solo necesitas ser estudiante activo y tener ganas de aprender. No se requiere experiencia previa, Diego.",31,2026-06-06 23:38:05.505111+00
15,c0000006-0000-0000-0000-000000000006,user,¿Hay eventos esta semana?,8,2026-06-06 23:38:05.505111+00
16,c0000006-0000-0000-0000-000000000006,assistant,"¡Sí, Valeria! El viernes hay una charla de inteligencia artificial a las 5 p. m. y un hackathon el sábado. ¿Quieres que te recuerde?",42,2026-06-06 23:38:05.505111+00
17,436c533a-9263-41f0-82ef-7bad9b0d0b6f,user,¿Cómo me inscribo a un programa?,11,2026-05-18 23:45:57.635829+00
18,436c533a-9263-41f0-82ef-7bad9b0d0b6f,assistant,La inscripción es en línea: completas tus datos y un asesor te contacta. También puedes escribir al WhatsApp 966 644 502.,32,2026-05-18 23:46:57.635829+00
19,436c533a-9263-41f0-82ef-7bad9b0d0b6f,user,¿Cómo me inscribo a un programa?,11,2026-05-18 23:47:57.635829+00
20,436c533a-9263-41f0-82ef-7bad9b0d0b6f,assistant,La inscripción es en línea: completas tus datos y un asesor te contacta. También puedes escribir al WhatsApp 966 644 502.,34,2026-05-18 23:48:57.635829+00
